Brand,Model,Company,Price in India,id,1 stars,2 stars,4 stars,3 stars,5 stars,link,total_ratings,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphics Processor,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight (kg),Dimensions (mm),Bluetooth version,Number of USB Ports,Series,Internal Mic,Touch Screen,Base Clock Speed,Graphics Processor,Product Name,Touchpad,Battery Cell,Pointer Device,USB Ports,Cache,Mic In,Speakers,Multi Card Slot,RJ45 (LAN),Dedicated Graphics,HDMI Port,Ethernet,Battery Life (up to hours),Dedicated Graphic Memory Type,Expandable RAM up to (GB),other_info
Micromax,In Note 1,micromax,"₹ 10,999",1,5,2,15,5,74,https://gadgets.ndtv.com/micromax-in-note-1-price-in-india-98202?pfrom=topstory,"1,037",4GB,,,"Green, White",Android 10,,,2GHz octa-core,,,,1080x2400 pixels,802.11 a/b/g/n/ac,,165.24 x 76.95 x 8.99,,,,,,,,"Micromax In Note 1 (4GB RAM, 64GB) - White",,,,,,,,,,,,,,,,{'Web Camera': '0.3-megapixel'}
HP,Pavilion 15-ab205tx,hp,"₹ 49,790",2,9,0,45,0,45,https://gadgets.ndtv.com/hp-pavilion-15-ab205tx-5055,11,4GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-ab205tx,Intel Core i5 5th Gen 5200U,AMD Radeon R5 M335,Yes,No,1920x1080 pixels,802.11 ac,2.9,384.50 x 261.10 x 25.20,4,3,Pavilion,Yes,No,2.2 GHz,AMD Radeon R5 M335,"HP Pavilion 15-AB205TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Natural Silver)",,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,4,DDR3,16GB,{'Web Camera': '0.3-megapixel'}
HP,Pavilion 15-AU626TX,hp,"₹ 69,980",3,21,5,17,12,45,https://gadgets.ndtv.com/hp-pavilion-15-au626tx-5381,42,16GB,15.60-inch,No,Silver,Windows 10,2TB,15-AU626TX,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,No,1366x768 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4.2,3,Pavilion,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU626TX Laptop (Windows 10, 16GB RAM, 2000GB HDD, Intel Core i5, Natural Silver)",Yes,2,Touchpad,1 x USB 2.0,3MB,Yes,Yes,SD Card Reader,Yes,Yes,Standard,10/100 Base T,5,DDR3,16GB,{'Web Camera': '0.3-megapixel'}
Asus,R558UQ-DM539D,asus,"₹ 35,490",4,14,6,37,6,37,https://gadgets.ndtv.com/asus-r558uq-dm539d-5335,65,4GB,15.60-inch,No,Glossy Dark Brown,DOS,1TB,R558UQ-DM539D,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,No,1920x1080 pixels,802.11 ac,2.3,382.00 x 256.00 x 25.50,4,3,R Series,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"Asus R558UQ-DM539D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C)",3MB,Yes,Yes,SD Card Reader,Yes,Yes,Standard,10/100/1000 Base T,4.5,GDDR3,12GB,"{'Web Camera': '2-megapixel', 'VGA Port': 'No'}"
HP,240 G4,hp,"₹ 27,500",5,23,9,9,18,41,https://gadgets.ndtv.com/hp-240-g4-5066,22,4GB,14.00-inch,No,Black,DOS,500GB,240 G4,Intel Core i3 5th Gen 5010U,AMD Radeon R5 M330,Yes,No,1366x768 pixels,802.11 b/g/n,1.9,345.40 x 2415.00 x 23.90,4,3,,Yes,No,2.1 GHz,AMD Radeon R5 M330,"HP 240 G4 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Core i3, Black, 14 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,,2 Speakers,3 in 1 card Reader,Yes,Yes,Standard,10/100/1000 Base T,3,DDR3,8GB,
Xiaomi,Redmi Note 9 Pro 5G,xiaomi,,6,0,0,0,0,0,https://gadgets.ndtv.com/xiaomi-redmi-note-9-pro-5g-price-in-india-98730?pfrom=topstory,,6GB,,,"Black, Blue, Lake and Autumn",Android 10,,,1.8GHz octa-core,,,,1080x2400 pixels,802.11 a/b/g,,165.38 x 76.80 x 9.00,,,,,,,,,,,,,,,,,,,,,,,,{'Web Camera': '2-megapixel'}
Acer,Aspire E E1-572G,acer,"₹ 59,500",7,50,0,25,0,25,https://gadgets.ndtv.com/acer-aspire-e-e1-572g-4787,4,4GB,15.60-inch,No,Black,Linux,1TB,E1-572G,Intel Core i7 4th Gen 4500U,AMD Radeon 8750M,Yes,,1366x768 pixels,802.11 b/g/n,2.4,381.60 x 256.00 x 25.30,4,3,Aspire E,Yes,No,1.8 GHz,AMD Radeon 8750M,"Acer Aspire E E1-572G Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",4MB,Yes,Yes,SD Card Reader,Yes,Yes,Yes,Gigabit Ethernet,4,DDR3,8GB,
Dell,Inspiron 3000 3543,dell,"₹ 28,099",8,29,0,0,29,43,https://gadgets.ndtv.com/dell-inspiron-3000-3543-5022,7,4GB,15.60-inch,No,Black,Windows 10 Home,1TB,3543,Intel Core i5 5th Gen 5200U,Nvidia GeForce 820M,Yes,,1366x768 pixels,802.11 b/g/n,2.5,384.00 x 267.00 x 26.60,4,3,Inspiron 3000,Yes,Yes,2.2 GHz,Nvidia GeForce 820M,"Dell Inspiron 3000 3543 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,SD Card Reader,Yes,Yes,Yes,10/100 T,4,DDR3L,8GB,{'Web Camera': '2-megapixel'}
Asus,X550LC-XX119H,asus,"₹ 46,000",9,33,0,33,0,33,https://gadgets.ndtv.com/asus-x550lc-xx119h-4852,3,4GB,15.60-inch,No,Dark Grey,Windows 8,750GB,X550LC-XX119H,Intel Core i5 4th Gen 4200U,Nvidia GeForce 720M,Yes,,1366x768 pixels,802.11 b/g/n,2.3,380.00 x 251.00 x 31.70,4,1,X Series,Yes,No,1.6 GHz,Nvidia GeForce 720M,"Asus X550LC-XX119H Laptop (Windows 8, 4GB RAM, 750GB HDD, Intel Core i5, Grey, 15.6 inch)",,4,Touchpad,1 x USB 2.0,3MB,Yes,Yes,3 in 1 card Reader,Yes,Yes,Standard,10/100/1000 Base T,,DDR3,8GB,{'Web Camera': '0.3-megapixel'}
HP,Pavilion 15-AU020TX,hp,"₹ 72,500",10,0,0,0,0,0,https://gadgets.ndtv.com/hp-pavilion-15-au020tx-5229,,4GB,15.60-inch,No,Silver,Windows 10,1TB,15-AU020TX,Intel Core i7 6th Gen 6500U,Nvidia GeForce 940MX,Yes,No,1920x1080 pixels,802.11 n/ac,2,383.00 x 243.00 x 225.00,4.2,3,Pavilion,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU020TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i7, Gold)",Yes,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",4MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,3,DDR3,16GB,{'Web Camera': '2-megapixel'}
